Tx;Time;Msg Type;Amount;Amount / 100;Asset;ToAddress;Administrator;FromAddress;;Asset;;;;;Total Tx
40CCD1FEE3EA8E92D1C684F58D09BCCFBB5A11891D3E3DCB6927E114BDB4387A;2022-07-22T10:05:40.203Z;/provenance.marker.v1.MsgWithdrawRequest;118191;1181,91;cfigurepayomni;pb14glmnazuwaw8dysg0zjst4ek3wmu34584juy68;pb1g2m2vp59amxd0hp5502e22hp0yprujd23z4qah;undefined;;figure-technologies-inc.psc.stock;;;;;49
381A28CBEE6F0F0E3C41482FF7546FD321D0CA9964305081747AF253F54261BD;2022-07-22T10:05:22.554Z;/provenance.marker.v1.MsgWithdrawRequest;5534;55,34;cfigurepayomni;pb1d9we9ht6uyylp30vzmkaawvjzvszdnkmx6kdsr;pb1g2m2vp59amxd0hp5502e22hp0yprujd23z4qah;undefined;;figure-technologies-inc.psc1.stock;;;;;2
16C570BD85AEF8090047A525B645A5E540D784A916128188FE3603B797FE2DC9;2022-07-22T10:05:15.054Z;/provenance.marker.v1.MsgWithdrawRequest;5000;50;cfigurepayomni;pb19tpslj79cvxmxn2w84zqggym5dg6lvjzf35krr;pb1g2m2vp59amxd0hp5502e22hp0yprujd23z4qah;undefined;;figure-technologies-inc.psc2.stock;;;;;1
33B873FE0EA40FD1C5A785F30F37A11F1C7771B096DE3EF72355BF6A0C5C850E;2022-07-22T02:52:47.644Z;/provenance.marker.v1.MsgWithdrawRequest;375;3,75;figure-technologies-inc.cs.stock;pb1n8tn3pfuqpvs7mkj6892pxdmyg3syldd3mr9hs;pb1fmm648xf4pp97upx5068cawvdcq05zvk6a0tkf;undefined;;figure-technologies-inc.pss.stock;;;;;17
19AB9E47816E55E984AE3A10CF936CF00852D4EC7A5E2C38A0616305F9C9021A;2022-07-22T02:52:47.644Z;/provenance.marker.v1.MsgWithdrawRequest;208;2,08;figure-technologies-inc.cs.stock;pb1kwr3lhuye39v4etn7gjg2rfuujcfluwpd7e252;pb1fmm648xf4pp97upx5068cawvdcq05zvk6a0tkf;undefined;;fmpb14j9yh3scpejxhwlas6s8ecxjwsz5ys395px3c5;;;;;5
A70AF12EDBBCF270411F677622D183706E8ED0558D00639C06324B759510D4C4;2022-07-23T01:39:56.215Z;/provenance.marker.v1.MsgWithdrawRequest;1;0,01;pm.securitization.contribution.6dyq4umz8vzmcdtcezrsrs;pb1fzte9yhk58mq244l30vp4e62rtrrpf2td059p5;pb1zsherr3eat6gvq9ptg3m0n3dj33xf2mwevk3ca;undefined;;fmpb18ncwd74vqy7x82gv8sxdk70w8fcdg3hm444nj3;;;;;9
41860303EF683F57FF35B93BD88708FCAAC8ACEBEAB6FFD63ABD5B87EC915CF4;2022-07-23T15:40:20.074Z;/provenance.marker.v1.MsgWithdrawRequest;114;1,14;cfigurepaydebt;pb127vr8s75lj8mmpcldhm0cd3su7ngmjrpfvp8a0;pb1zpqjcy3943ut0gfcmseavxd4jqnj4g4w4gevx0;undefined;;fmpb1dr8pcgg2shfc5yget9mj2c26cqan8zynqepvs5;;;;;12
41860303EF683F57FF35B93BD88708FCAAC8ACEBEAB6FFD63ABD5B87EC915CF4;2022-07-23T15:40:20.074Z;/cosmos.bank.v1beta1.MsgSend;114;1,14;cfigurepayomni;pb1ksfxlh23kk28lpf07ql0e9genwhv3y6upaa4lr;undefined;pb1zpqjcy3943ut0gfcmseavxd4jqnj4g4w4gevx0;;fmpb1fts87wmdnplrjemhv09tzw04j38t6ydvaqekyn;;;;;19
41860303EF683F57FF35B93BD88708FCAAC8ACEBEAB6FFD63ABD5B87EC915CF4;2022-07-23T15:40:20.074Z;/cosmos.bank.v1beta1.MsgSend;136;1,36;cfigurepayomni;pb1ksfxlh23kk28lpf07ql0e9genwhv3y6upaa4lr;undefined;pb127vr8s75lj8mmpcldhm0cd3su7ngmjrpfvp8a0;;fmpb1g63tcwljlrljfr047tl5f8yahz9vm0l3nyu3g7;;;;;52
F25AEE826245E19236175095CDCEB0DC79DEBF1A58949610EB8D4030482E8EDA;2022-07-22T14:05:36.154Z;/provenance.marker.v1.MsgWithdrawRequest;1;0,01;pm.sale.pool.7ri4hddpp7pimatobfxf9;pb1tetfkkuz995rvlm347xf9n5ls7t6mufcelzhkw;pb1zsherr3eat6gvq9ptg3m0n3dj33xf2mwevk3ca;undefined;;fmpb1jv5n67meskdy97etw6jnuqsf6yg9jht2vx0934;;;;;5
A9E3C10F45E7F378E8558B9EACB7A14654FC3AFCE651DFEE3CC7635D444D135D;2022-07-22T11:32:30.413Z;/provenance.marker.v1.MsgWithdrawRequest;383;3,83;cfigurepaydebt;pb1jdc3rt7aphj2wphktgvz4mywleyjc0eg0fngkd;pb1zpqjcy3943ut0gfcmseavxd4jqnj4g4w4gevx0;undefined;;fmpb1jv62hvg2tgmld6gq6vewjkh5avwjvj5xcmmqrq;;;;;28
